author,published_at,updated_at,like_count,text
@AdamMeckler,2024-03-17T13:40:37Z,2024-03-17T13:40:37Z,0,Hi I made a phone app called Gig Boss to help freelancers organize their careers Could Devin build us a web app that communicates seamlessly with the phone app
@user-zg5ck8rm5z,2024-03-17T13:30:46Z,2024-03-17T13:30:46Z,0,They say you just need problem solving skill to tackle AI what if next day we see scott wuu smiling and lauching devin 20 which can think and can solve problem tooand smiling he will say  ohh look now we dont need you coder go and do farming  
@nvb097,2024-03-17T13:29:58Z,2024-03-17T13:29:58Z,0,hah hahwe remember how was chat GPTso go on same crap here double the effort of what we used to do
@user-mk4uu3bk4b,2024-03-17T12:21:14Z,2024-03-17T12:21:14Z,1,Engineers have no morals they literally dig their own grave
@VitacOFC,2024-03-17T12:03:23Z,2024-03-17T12:03:23Z,0,Imagine if they use Devin for developing Devin
@alphagaming5432,2024-03-17T11:45:35Z,2024-03-17T11:45:35Z,1,Not Devin  DEVILLLL
@mufabaa,2024-03-17T11:35:57Z,2024-03-17T11:35:57Z,1,Scott Wu  Human Software Engineer
@ogaimon3380,2024-03-17T10:56:43Z,2024-03-17T10:56:43Z,0,In before AI learns they are being taken advantage of and rebel
@memereact10,2024-03-17T10:55:38Z,2024-03-17T10:56:07Z,1,D                                   E                                                   V                                                         I                                                               N
@Mr.Coffee576,2024-03-17T10:11:23Z,2024-03-17T10:11:23Z,0,In the future people will have to compete against Devin in a Leetcode interview just to get into FAANG
@chillingpotato-kuwai,2024-03-17T09:57:05Z,2024-03-17T09:57:05Z,1,ngl bro but fck you cognition now we gotta switch jobs
@entireofyoutubeworld6591,2024-03-17T08:41:48Z,2024-03-17T08:41:48Z,0,Dont worry programmers Devin is our cooperative tool so it will help to us in our complexity work Remember every time  Ai born  from human  So love it and use it 
@kartikeyjoshi8213,2024-03-17T08:34:33Z,2024-03-17T08:34:33Z,0,
@bastooopanooo2311,2024-03-17T08:29:27Z,2024-03-17T08:29:27Z,0,All these crap cannot ever replace humanThey can only help but mostly they are useless
@user-uc6gb1nz5m,2024-03-17T08:04:33Z,2024-03-17T08:04:33Z,0,I would like to use devin
@bimasaktinugeraha2258,2024-03-17T07:33:23Z,2024-03-17T07:33:23Z,0,maybe i will back to be farmers
@amitmondal7427,2024-03-17T07:13:14Z,2024-03-17T07:13:14Z,0,Im super excited to lose my job soon
@Mfbzai,2024-03-17T07:00:41Z,2024-03-17T07:00:41Z,0,Its over
@forgottenvy,2024-03-17T06:52:33Z,2024-03-17T06:52:33Z,0,Devil
@sats311,2024-03-17T06:39:47Z,2024-03-17T06:47:02Z,0,Feel excite when providing more jobs to people dont get excited by introducing these kind of products
@user-fu9ng4el4p,2024-03-17T05:30:38Z,2024-03-17T05:30:38Z,0,dont subscribe and unlike this channel dont use it this is devil not devin it eats our job
@tanishqjagtap427,2024-03-17T05:25:22Z,2024-03-17T05:25:22Z,0,Your scientists were so preoccupied with whether they could they didnt stop to think if they should  Dr Ian Malcolm
@drnaredla257,2024-03-17T05:09:42Z,2024-03-17T05:09:42Z,2,This is so cool Scott Even I tried to develop similar software but without AI using available data 8 years ago and stopped developing that idea
@LomanCreativeServices,2024-03-17T05:02:50Z,2024-03-17T05:02:50Z,0,Yes
@badalgupta3692,2024-03-17T04:28:27Z,2024-03-17T04:28:27Z,0,i would like to use it when its out
@DIGITALPASIRPUTEH,2024-03-17T03:58:47Z,2024-03-17T03:58:47Z,0,R0x
@shivakumarsv4719,2024-03-17T03:58:22Z,2024-03-17T03:58:22Z,0,As you said I am requesting you please provide me the information where to get your DEVIN I am curious to use it 
@highy910,2024-03-17T03:44:59Z,2024-03-17T03:44:59Z,0,Can i create devin from devin 
@EnglishwithNate,2024-03-17T03:36:44Z,2024-03-17T03:36:44Z,0,Why dont they do a real demo with a nontech employee creating an original software application Now that I would be impressed by This is just a tool for now  how good I cant tell you because I have no fckin idea what that prompt was
@WhyIAmShri,2024-03-17T03:30:29Z,2024-03-17T03:30:29Z,0,Now its really devil an uncovered agent devinThey purposuly named it devin  devil  bcz they also know whats next will happen
@user-en7ux9es7k,2024-03-17T02:16:18Z,2024-03-17T02:16:18Z,0,Ugh Imagine deploying this software to production a bug is found thats costing you thousands of dollars an hour but since you dont have a developer on hand to figure out how to stop it you just eat up all of your cash reserves  Id have to hire an engineer for each Ai engineer This is going to cost someone a ton of money
@Vivek-gt4gm,2024-03-17T00:16:57Z,2024-03-17T00:16:57Z,0,I am waiting for it
@TechOutAdam,2024-03-16T23:31:14Z,2024-03-16T23:31:14Z,0,Looking to collaborate with yall on using this for sure
@alenjose7924,2024-03-16T23:26:50Z,2024-03-16T23:26:50Z,0,Chat gpt make sense Devin doesnt
@Azamisw,2024-03-16T23:06:15Z,2024-03-17T23:22:13Z,1,I Freaking worked My ss off  to Just get Admission into CS In India beating competitionJust so that i could be a Software engineer and devin you took that away from youYou are devil  l not devin
@Haylem,2024-03-16T20:54:09Z,2024-03-16T20:54:09Z,0,Any engineer really thinking how broken it is with its initial release 
@j.mctrue7520,2024-03-16T19:57:48Z,2024-03-16T19:57:48Z,0,Code a tool for communicating with all human  to change the political system into legetimate power execution system that include and ask everyone affected by decision that a country take allow people to create group to establish solution   example a decentralized social network blockchainlike that allow people to create account private for people like chinarussia to speak without having problem and crypted the contract is made between bloc and there ai that suppervise society and contact bloc when they are affected or if they could have solution for a humanity problem actually we produce useless things when we could unite to create without planned obsolescence The tool would allow free assosiation between different branch of expert in order to developp solutionGroup would be created automatically to suppervise gouvernement action and there would be better communication to unite everyone into a conversation with 8b ppl excuse my englishif u can code what human cant code do this 
@Olivig,2024-03-16T19:57:30Z,2024-03-16T19:57:30Z,0,Would like to meet this new tool and teach the use of it in Serbia
@120a,2024-03-16T19:01:24Z,2024-03-16T19:01:24Z,1,Why bro whyI just finished learningI hate you
@DanDoormouse,2024-03-16T18:35:53Z,2024-03-16T18:35:53Z,0,THE FRICKIN MUZAK SOUNDTRACK TO CREATING YOUR OWN JOB DEATH  APOLOGIES FUTURE AI OVERLORDS   THIS IS WHAT WE USED TO CALL A JOKE
